data,denominazione_regione,totale_ospedalizzati
2020-04-06T17:00:00,Abruzzo,406
2020-04-06T17:00:00,Basilicata,64
2020-04-06T17:00:00,P.A. Bolzano,297
2020-04-06T17:00:00,Calabria,184
2020-04-06T17:00:00,Campania,711
2020-04-06T17:00:00,Emilia-Romagna,4176
2020-04-06T17:00:00,Friuli Venezia Giulia,235
2020-04-06T17:00:00,Lazio,1432
2020-04-06T17:00:00,Liguria,1303
2020-04-06T17:00:00,Lombardia,13257
2020-04-06T17:00:00,Marche,1141
2020-04-06T17:00:00,Molise,39
2020-04-06T17:00:00,Piemonte,3922
2020-04-06T17:00:00,Puglia,722
2020-04-06T17:00:00,Sardegna,149
2020-04-06T17:00:00,Sicilia,637
2020-04-06T17:00:00,Toscana,1395
2020-04-06T17:00:00,P.A. Trento,433
2020-04-06T17:00:00,Umbria,205
2020-04-06T17:00:00,Valle d'Aosta,130
2020-04-06T17:00:00,Veneto,2036
