data,denominazione_regione,totale_ospedalizzati
2020-04-13T17:00:00,Abruzzo,405
2020-04-13T17:00:00,Basilicata,76
2020-04-13T17:00:00,P.A. Bolzano,231
2020-04-13T17:00:00,Calabria,172
2020-04-13T17:00:00,Campania,686
2020-04-13T17:00:00,Emilia-Romagna,3821
2020-04-13T17:00:00,Friuli Venezia Giulia,189
2020-04-13T17:00:00,Lazio,1514
2020-04-13T17:00:00,Liguria,1226
2020-04-13T17:00:00,Lombardia,13171
2020-04-13T17:00:00,Marche,1067
2020-04-13T17:00:00,Molise,32
2020-04-13T17:00:00,Piemonte,3723
2020-04-13T17:00:00,Puglia,671
2020-04-13T17:00:00,Sardegna,134
2020-04-13T17:00:00,Sicilia,605
2020-04-13T17:00:00,Toscana,1217
2020-04-13T17:00:00,P.A. Trento,382
2020-04-13T17:00:00,Umbria,165
2020-04-13T17:00:00,Valle d'Aosta,124
2020-04-13T17:00:00,Veneto,1672
