data,denominazione_regione,totale_ospedalizzati
2020-02-24T18:00:00,Piemonte,2
2020-02-25T18:00:00,Piemonte,2
2020-02-26T18:00:00,Piemonte,2
2020-02-27T18:00:00,Piemonte,2
2020-02-28T18:00:00,Piemonte,7
2020-02-29T17:00:00,Piemonte,7
2020-03-01T17:00:00,Piemonte,13
2020-03-02T18:00:00,Piemonte,14
2020-03-03T18:00:00,Piemonte,16
2020-03-04T17:00:00,Piemonte,39
2020-03-05T17:00:00,Piemonte,60
2020-03-06T17:00:00,Piemonte,87
2020-03-07T18:00:00,Piemonte,148
2020-03-08T18:00:00,Piemonte,290
2020-03-09T18:00:00,Piemonte,272
2020-03-10T18:00:00,Piemonte,372
2020-03-11T17:00:00,Piemonte,394
2020-03-12T17:00:00,Piemonte,465
2020-03-13T17:00:00,Piemonte,691
2020-03-14T17:00:00,Piemonte,688
2020-03-15T17:00:00,Piemonte,897
2020-03-16T17:00:00,Piemonte,1231
2020-03-17T17:00:00,Piemonte,1584
2020-03-18T17:00:00,Piemonte,2007
2020-03-19T17:00:00,Piemonte,2536
2020-03-20T17:00:00,Piemonte,1821
2020-03-21T17:00:00,Piemonte,2277
2020-03-22T17:00:00,Piemonte,2426
2020-03-23T17:00:00,Piemonte,2537
2020-03-24T17:00:00,Piemonte,2764
2020-03-25T17:00:00,Piemonte,2925
2020-03-26T17:00:00,Piemonte,3041
2020-03-27T17:00:00,Piemonte,3283
2020-03-28T17:00:00,Piemonte,3533
2020-03-29T17:00:00,Piemonte,3428
2020-03-30T17:00:00,Piemonte,3437
2020-03-31T17:00:00,Piemonte,3626
2020-04-01T17:00:00,Piemonte,3599
2020-04-02T17:00:00,Piemonte,3794
2020-04-03T17:00:00,Piemonte,3752
2020-04-04T17:00:00,Piemonte,3891
2020-04-05T17:00:00,Piemonte,3916
2020-04-06T17:00:00,Piemonte,3922
2020-04-07T17:00:00,Piemonte,3985
2020-04-08T17:00:00,Piemonte,3916
2020-04-09T17:00:00,Piemonte,3926
2020-04-10T17:00:00,Piemonte,3891
2020-04-11T17:00:00,Piemonte,3819
2020-04-12T17:00:00,Piemonte,3810
2020-04-13T17:00:00,Piemonte,3723
